Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C18, C19, C2, C20, C21, C22, C23, C4, C5, C7, C9",0805,15,50V 1.5nF,
"C11, C14, C8",0805,3,50V 10nF,
"C12, C13",0805,2,50V 68pF,
"C17, C3",0805,2,50V 68nF ceramic,
"C24, C25",CP_Elec_4x5.4,2,2.2uF 35V,
C6,1206,1,50V 10nF ceramic,
"D1, D3, D5",LL-34_L3.5-W1.5-RD,3,ZMM36_C8082 35V,C8082
D2,SMA_L4.4-W2.6-LS5.0-RD,1,1N4007G,C111122
"D7, D8",D_MiniMELF,2,ZMM15_C179550 15V,C179550
"IC1, IC2",SSOP-20_L7.2-W5.3-P0.65-LS7.8-BL,2,PIC16C620A-04/SS,C639116
"J1, J2, J6","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",3,Screw_Terminal_01x05,
"J23, J24, J25, J26, J27, J3, J4, J5",PinHeader_1x01_P1.27mm_Vertical,8,Conn_01x01_Pin,
J7,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04,
"K1, K2",RELAY-TH_SMI-X-XX-2C,2,SMI-24VDC-SL-2C,C34457
"Q1, Q12",SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,2,BCX56,C24280
"Q10, Q13, Q14, Q15, Q2, Q3, Q6, Q7, Q8, Q9",SOT-457_L2.9-W1.6-P0.95-LS2.80-BR,10,IMX1T110,C509893
"Q11, Q4, Q5",SOT-23,3,BC846,
"R1, R12, R13, R14, R19, R4, R52, R9",0805,8,1k,
"R10, R6",0805,2,33k,
"R11, R15, R7",0805,3,3.3k,
"R16, R20, R22, R46",0805,4,10k,
"R17, R18, R25, R44",0805,4,47k,
"R2, R3",0805,2,4.7k,
"R21, R24, R48, R49",0805,4,100k,
"R23, R45, R47, R54",0805,4,27k,
"R26, R43, R5",0805,3,4.7R,
"R27, R29, R32, R38, R8",0805,5,10R,
"R28, R40",0805,2,330R,
"R30, R31, R33, R34",0805,4,100R,
"R35, R39",0805,2,150R,
"R36, R42",0805,2,470R,
"R37, R41, R50, R51",0805,4,270R,
SW1,SW-TH_SS-12D01-GX,1,SS-12D01-G4,C698217
"TU1, TU2",Capacitor_Tantalum_1206x3216,2,10uF 16V,C7171
TU3,CP_Elec_4x5.4,1,3.3uF 50V,C7201
U1,SOP-4_L3.7-W4.6-P2.54-LS7.0-TL,1,TLP181GB-S,C388374
"U2, U4",SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,2,L78L05ABUTR,C42738
"U3, U6",SOT-23-5,2,5to5V,
U5,SOT-89-3_L4.3-W2.3-P1.50-LS4.3-BR,1,78L15_C5692991,C5692991
