Designator,Mid X,Mid Y,Rotation,Layer
C1,134.918815,-144.831185,90.0,top
C10,139.058815,-165.341185,90.0,top
C11,129.268815,-156.551185,270.0,top
C12,123.858815,-150.021185,0.0,top
C13,127.158815,-173.211186,0.0,top
C14,131.488815,-172.531185,270.0,top
C15,140.858815,-190.251185,180.0,top
C16,133.308815,-139.471185,0.0,top
C17,145.28,-185.95,270.0,top
C18,143.088815,-174.121185,90.0,top
C19,140.358815,-171.181185,180.0,top
C2,85.238815,-158.771185,0.0,top
C20,147.54,-187.55,270.0,top
C21,147.54,-182.429999,270.0,top
C22,147.54,-177.88,270.0,top
C23,116.26,-185.689999,90.0,top
C24,110.52,-144.08,90.0,top
C25,125.59,-137.89,0.0,top
C3,84.288815,-155.911185,270.0,top
C4,101.82,-160.31,0.0,top
C5,101.82,-149.27,0.0,top
C6,86.348815,-147.291185,270.0,top
C7,102.92,-139.12,0.0,top
C8,97.858815,-161.191186,270.0,top
C9,137.178815,-157.201185,90.0,top
D1,104.67,-190.14,90.0,top
D2,91.85,-145.57,180.0,top
D3,104.238815,-175.091185,90.0,top
D5,92.128815,-149.091185,0.0,top
D7,108.586315,-121.311185,180.0,top
D8,114.931315,-121.261185,0.0,top
IC1,129.288815,-184.311185,270.0,top
IC2,124.181315,-156.586185,270.0,top
J1,68.08,-182.26,270.0,top
J2,154.21,-182.35,270.0,top
J23,102.178814,-120.911185,270.0,top
J24,97.428815,-120.911185,270.0,top
J25,95.048814,-120.911185,90.0,top
J26,122.048816,-120.891185,270.0,top
J27,119.648816,-120.891185,270.0,top
J3,128.688816,-120.821185,270.0,top
J4,126.298815,-120.821185,270.0,top
J5,104.708815,-120.881185,270.0,top
J6,147.8175,-150.81,270.0,top
J7,75.02,-151.04,270.0,top
K1,88.3075,-188.6125,180.0,top
K2,88.325,-175.68,180.0,top
Q1,136.858815,-152.651185,0.0,top
Q10,102.4285,-127.1615,0.0,top
Q11,110.567499,-171.46,90.0,top
Q12,130.458815,-145.101185,90.0,top
Q13,136.818815,-176.901185,0.0,top
Q14,140.213815,-184.121185,0.0,top
Q15,140.198815,-178.951185,0.0,top
Q2,136.753815,-186.521185,0.0,top
Q3,109.378814,-125.411185,90.0,top
Q4,107.16,-186.01,0.0,top
Q5,109.2525,-175.93,0.0,top
Q6,125.62,-125.32,270.0,top
Q7,95.09,-127.095,270.0,top
Q8,117.378814,-125.411185,90.0,top
Q9,137.905,-125.58,180.0,top
R1,110.4,-185.8975,90.0,top
R10,112.116315,-153.77,0.0,top
R11,121.098815,-149.321185,270.0,top
R12,127.118815,-149.321185,270.0,top
R13,132.308815,-157.771185,0.0,top
R14,126.688815,-191.681185,180.0,top
R15,128.998815,-176.601186,0.0,top
R16,118.678815,-156.511185,270.0,top
R17,117.928815,-159.621185,0.0,top
R18,118.038815,-153.061185,90.0,top
R19,115.698815,-156.361185,0.0,top
R2,109.778815,-179.021185,180.0,top
R20,134.048815,-183.821185,270.0,top
R21,136.786315,-183.611185,0.0,top
R22,119.128815,-149.321185,270.0,top
R23,136.778815,-181.581185,0.0,top
R24,140.228815,-187.431185,0.0,top
R25,129.118815,-149.321185,270.0,top
R26,132.428815,-149.281185,270.0,top
R27,113.688815,-124.461185,180.0,top
R28,142.005,-125.65,90.0,top
R29,113.708815,-126.481185,180.0,top
R3,110.624999,-168.09,180.0,top
R30,88.62,-128.08,90.0,top
R31,117.328815,-128.511185,180.0,top
R32,111.878815,-129.411185,180.0,top
R33,107.701315,-130.581185,180.0,top
R34,134.445,-129.6175,270.0,top
R35,136.445,-129.6175,90.0,top
R36,138.435,-129.6175,270.0,top
R37,140.405,-129.6175,90.0,top
R38,111.888815,-131.421185,180.0,top
R39,91.89,-131.6,90.0,top
R4,113.464999,-171.46,90.0,top
R40,95.07,-131.56,90.0,top
R41,97.04,-131.56,90.0,top
R42,120.718815,-143.611185,180.0,top
R43,126.746315,-141.451185,180.0,top
R44,132.628815,-152.151185,180.0,top
R45,143.29,-185.96,90.0,top
R46,142.918815,-182.493685,270.0,top
R47,142.918815,-179.031185,90.0,top
R48,136.908815,-174.021185,0.0,top
R49,140.238815,-176.071185,0.0,top
R5,132.628815,-154.231185,0.0,top
R50,145.34,-182.44,90.0,top
R51,145.34,-178.961185,90.0,top
R52,124.298815,-184.691185,90.0,top
R54,136.881315,-171.871185,180.0,top
R6,89.518815,-157.041185,0.0,top
R7,86.428815,-155.891185,270.0,top
R8,97.69,-151.23,180.0,top
R9,113.508815,-179.021185,180.0,top
SW1,119.63,-183.87,90.0,top
TU1,107.15,-165.52,270.0,top
TU2,107.15,-154.6,270.0,top
TU3,96.84,-141.95,270.0,top
U1,91.828815,-160.541185,270.0,top
U2,102.3,-154.02,90.0,top
U3,113.51,-189.2325,0.0,top
U4,102.3,-164.697499,90.0,top
U5,103.65,-143.34,270.0,top
U6,112.461315,-158.721185,90.0,top
